,reward,action,soc_kwh,generation_kW,load_kW,unmet_kW,spill_kW,charge_kW,discharge_kW
2024-03-02 19:00:00+05:00,0.1,0.23558883,27.30137659717708,5.968119185518133,6.586090687276267,0.0,0.0,1.6407258868166563,0.0
2024-03-02 20:00:00+05:00,-160.04164150334773,-0.18863383,25.315757340806133,1.5020864046873896,5.579327213016084,1.6014164150334773,0.0,0.0,1.8863382935523987
2024-03-02 21:00:00+05:00,-274.2386426260874,-0.30236095,22.133010478695795,0.0,4.679169073147851,2.7433864262608747,0.0,0.0,3.0236095190048218
2024-03-02 22:00:00+05:00,-207.54036801381864,-0.2819432,19.165187299551185,1.8686834059207493,4.598978667570364,2.0754036801381863,0.0,0.0,2.819432020187378
2024-03-02 23:00:00+05:00,-359.31858708366605,-0.25287664,16.50332793780224,1.7820275022010297,3.4033796760145782,3.5931858708366606,0.0,0.0,2.528766393661499
2024-03-03 00:00:00+05:00,-390.6275255659505,-0.25759608,13.791790300593602,2.133667300724076,3.6746436874259607,3.906275255659505,0.0,0.0,2.5759607553482056
2024-03-03 01:00:00+05:00,-563.0568878066808,-0.11185011,12.614420693471281,2.723044984643735,3.2394393754570143,5.630568878066809,0.0,0.0,1.1185011267662048
2024-03-03 02:00:00+05:00,-148.63153953366552,-0.05480875,12.037486475064604,9.135789707780638,3.727886771841985,1.4863153953366552,0.0,0.0,0.5480875074863434
2024-03-03 03:00:00+05:00,-0.0,-0.24714608,10.70193828985146,11.08395132108015,4.524837328302517,0.0,0.0,0.0,1.2687707759524862
2024-03-03 04:00:00+05:00,-0.0,-0.32111385,7.65343401384856,9.929212040132223,5.787445202775493,0.0,0.0,0.0,2.8960790622027552
2024-03-03 05:00:00+05:00,-135.26323943496993,-0.24408434,5.084125136857288,9.261907057399736,6.6078694071695505,1.3526323943496994,0.0,0.0,2.4408434331417084
2024-03-03 06:00:00+05:00,-460.6345697792065,-0.23362215,5.0,8.244462353188153,7.3768511667187155,4.584207503882254,0.0,0.0,0.0841251368572884
2024-03-03 07:00:00+05:00,-471.4060433697524,-0.4879317,5.0,8.448790127724186,8.50636271992456,4.714060433697524,0.0,0.0,0.0
2024-03-03 08:00:00+05:00,-5.845178421920139,0.11122298,5.0,12.158162694259985,9.33380211985747,0.058451784219201386,0.0,0.0,0.0
2024-03-03 09:00:00+05:00,-1.435363426573927,0.4453575,9.230896264314651,17.768025532630855,9.783633885814236,0.0,1.435363426573927,4.453575015068054,0.0
2024-03-03 10:00:00+05:00,-0.0,0.56284827,11.48267446992649,13.191563454247813,10.458540999175005,0.0,0.0,2.370292848012461,0.0
2024-03-03 11:00:00+05:00,-823.7042966275613,0.019443056,11.48267446992649,1.7780211616043546,10.678518970739358,8.237042966275613,0.0,0.0,0.0
2024-03-03 12:00:00+05:00,-0.0,0.5399551,11.705473570456428,9.0817133500509,10.890330445355996,0.0,0.0,0.23452536897888265,0.0
2024-03-03 13:00:00+05:00,-464.63329564623956,0.26073208,11.705473570456428,2.910075220815548,10.872397648438442,4.646332956462396,0.0,0.0,0.0
2024-03-03 14:00:00+05:00,-0.0,0.57057345,12.981083919181835,8.018627398292471,10.76824165120628,0.0,0.0,1.342747735500427,0.0
2024-03-03 15:00:00+05:00,-0.0,1.0,19.88491260402091,13.07525967739096,9.257848067143621,0.0,0.0,7.267188089304292,0.0
2024-03-03 16:00:00+05:00,0.1,1.0,23.897932993126446,9.314273875213974,9.224558455884301,0.0,0.0,4.224231988532142,0.0
2024-03-03 17:00:00+05:00,0.1,0.60828525,26.24968171922677,7.10740132434074,7.894523765401011,0.0,0.0,2.475524974842446,0.0
2024-03-03 18:00:00+05:00,-88.70056413771817,-0.08181143,25.38850879217342,2.645535956022781,7.306331465065367,0.8880056413771817,0.0,0.0,0.8181142807006836
